symbol,calmar,win_rate,n_trades,n_signals,net_pnl_r,max_dd_r,hurst,yz_vol,eval_start,train_span_days,screened_at,gate_pass
USDCAD,0.0,,,,,,,,,,,False
USDCNH,0.0,,,,,,,,,,,False
USDHKD,0.0,,,,,,,,,,,False
USDHUF,0.0,,,,,,,,,,,False
USDJPY,0.0,,,,,,,,,,,False
USDNOK,0.0,,,,,,,,,,,False
USDSEK,0.0,,,,,,,,,,,False
USDSGD,0.0,,,,,,,,,,,False
XAGAUD,0.0,,,,,,,,,,,False
XAGEUR,0.0,,,,,,,,,,,False
XAGSGD,0.0,,,,,,,,,,,False
XAGUSD,0.0,,,,,,,,,,,False
XAUCNH,0.0,,,,,,,,,,,False
XAUEUR,0.0,,,,,,,,,,,False
XAUGBP,0.0,,,,,,,,,,,False
XAUSGD,0.0,,,,,,,,,,,False
XAUUSD,0.0,,,,,,,,,,,False
XPTUSD,0.0,,,,,,,,,,,False
ZARJPY,0.0,,,,,,,,,,,False
ZINC,0.0,,,,,,,,,,,False
